L-lactate,citrate,deoxyuridine,X3.Methyl.2.oxovaleric.acid,X3.Methylcytidine,trans-4-hydroxy-L-proline,X2.Deoxyuridine,adenine,adenosine,alanine,alpha.Aminoadipic.acid,AKG,arginine,asparagine,aspartate,cis-aconitate,citrulline,L-cystathionine,cytidine,Dihydroxyacetone.phosphate,Erythrol,F6P.G1P,fumarate,Gluconate,glutamate,glutamine,glycine,guanosine,Hexose,histidine,homoserine,Hydroxyglutaric.acid,inosine,isocitrate,Isoleucine.Leucine,Ketoisovalerate,malate,Mannitol,methionine,Methionine.sulfone,Mevalonic.acid,N.Acetyl.L.aspartic.acid,N.Acetyl.serine,N4.Acetylcytidine,nicotinamide,ornithine,Pentose.phosphate,phenylalanine,creatine,Pseudouridine,pyruvate,Ribose,sarcosine,serine,succinate,threonine,thymidine,thymine,TMP,trehalose,tryptophan,tyrosine,uracil,uridine,xanthine,glucose,time,group
True,False,None,X,X,X,X,None,None,True,X,None,True,True,True,TCA,False,X,None,X,X,X,TCA,X,True,True,False,None,X,True,False,X,None,TCA,X,X,TCA,X,True,X,X,X,X,X,True,None,X,True,False,X,None,X,True,True,True,True,None,None,X,True,True,True,None,None,TCA,True,,
1891800,25625,371.27,1889.4,202.94,79778,11959,-26192,88805,370280,1848.4,1648,353020,190790,181610,170.99,8061.5,651.2,592.14,1772,97425,73293,3373.3,2426.2,312530,3082800,146800,42423,4067200,120620,8102.6,1521.6,993.34,316.62,376250,632.52,8526.5,69303,99477,529.86,160.93,1801.2,247.09,25406,2533.1,37687,9923.1,148680,310.92,1204.4,31173,14670000,370280,343240,75288,220490,72052,351.46,61686,1703.3,29788,123610,5499.1,8401.1,34747,9196400,24,WT+DMSO
1808200,26773,352.63,2032.1,202.94,83127,13454,0.1994,88805,359430,1896.5,1809.2,367320,198760,191750,177.11,8001.9,478.94,643.92,1797.8,84743,101.57,3529.5,2241.6,322420,3231400,181210,38585,4215000,128340,6722.2,1775.5,1053.5,693.94,372900,733.45,8835.2,74416,100230,593.05,361.98,1704.7,305.75,47327,2921.5,38550,11021,166640,212.8,1203,31497,13737000,359430,377030,79549,222670,93007,429.13,61291,1698.8,29183,129820,6428.9,9039.3,39255,9890000,24,WT+DMSO
2254400,25532,327.67,2126.9,222.35,70201,14170,32953,88805,382330,1798.1,1808,384200,211150,198980,199.92,8743.8,318.98,549.68,1461.2,67265,144.4,3948,3136.4,335990,3394500,129350,39866,4283100,135490,5794,1811.9,892.39,410.16,406090,581.21,9457.8,64187,117870,842.86,248.22,1335.6,295.98,48985,2320.8,42556,11739,168420,259.06,1307.1,33772,15998000,382330,380380,79781,236380,-2.8905,625.64,61604,1842.2,35824,139880,7087.9,8953.7,47190,10422000,24,WT+DMSO
2370800,29429,420.91,5558.5,202.94,101530,49378,-88.66,88805,410920,1974.5,3561.3,376690,211830,207050,214.28,9122.5,595.35,294.44,2016.6,78519,51124,3701.7,2850.9,363980,3182200,195140,38585,4595200,134960,9197.5,2003.7,763.17,215.02,403360,1199.7,9602,81096,100150,479.31,48561,3015.3,330.39,22043,3175.4,56378,10649,167360,209.84,1451.8,80176,14654000,410920,373110,85772,237000,150,626.26,63656,1632.1,29133,138210,6203.3,6228.6,41895,10249000,48,WT+DMSO
2904000,24382,326.27,4968.1,202.94,81106,42607,5.2354,88805,374260,1265.5,3148.8,360550,198710,193090,186.2,7772.5,334.31,288.5,2169.4,69318,114.85,3777.4,3225.9,341320,2994500,168470,38585,4047700,126400,3234.7,1786.5,632.19,410.16,384790,926.78,9273.8,66808,100980,757.22,53326,1634.7,320.83,32.03,6053.9,50773,11030,156620,294.71,1284.1,70290,11839000,374260,354900,79376,219090,139.18,610.28,60506,1749,26849,129130,6703,6099.6,46184,9646100,48,WT+DMSO
1945900,26016,298.51,5497.1,202.94,77352,46911,-5.6051,99506,399060,2537.1,3311.9,366250,196420,195110,182.25,7826.6,358.17,297.79,1776.1,69097,156.35,3555.5,2862.2,343740,3006400,158130,38585,4071200,128360,6488.9,1666,622.82,1242,400370,944.39,9539.7,68147,108050,849.49,356.26,1861.7,324.03,22.44,3159.7,52481,11225,164120,276.39,1304.8,78551,14803000,399060,356780,80939,226430,17217,722.93,59731,1688.1,33083,138090,7304.2,6016,52717,9880600,48,WT+DMSO
2548700,22282,362.78,5115.2,202.94,79021,46598,-46897,88805,369440,2295.4,3238.1,361620,201280,192830,180.32,8131.7,423.83,263.4,1962.8,79337,140.34,3687.6,2543.4,344840,3009200,159540,38585,4234600,128660,6095.5,1709.4,642.54,197.14,390520,931.57,9442.5,66711,109920,713.4,224.3,1799.3,348.39,18714,4549.9,51437,11294,161560,318.53,1259.5,74109,22100000,369440,352450,80545,221000,98204,610.8,62127,1715.7,27830,133860,6764.9,5784.4,48292,9928400,48,WT+DMSO
5062700,28431,224.5,12720,202.94,83463,128180,-43098,88805,400630,1339.1,4794.9,353940,204220,205740,238.34,8561.7,501.4,-46291,2171.9,95162,187.91,4086.7,3189.9,393700,2904000,175010,38585,4161600,141410,6438.5,1766,29943,378.14,384090,2109.7,10869,68982,109170,860.99,109.84,3441.5,579.4,14143,5145.9,69899,10602,163920,388.07,1521.2,123920,14864000,400630,317590,86248,211030,144.71,940.45,57414,1860.9,28510,130570,7523.9,145.09,53759,9778400,72,WT+DMSO
3687800,31252,245.19,13079,202.94,88372,69490,-57.53,88805,400570,1361.7,4667.3,352080,204520,201220,235.37,8841,684.1,-37.44,2210,66099,55092,3931.7,2646,391260,2903700,191770,38585,4085200,128720,7641.9,2015,65571,457.28,371570,1805.9,10569,73137,98962,564.28,133.85,3325.3,570.57,19317,4082.1,65345,10214,160330,364.3,1433.8,108730,13588000,400570,340510,86511,219580,46923,929.37,57414,1863.9,30031,128760,6470.6,171.82,47297,9660100,72,WT+DMSO
5107100,35346,247.17,12476,242.94,82073,100610,-102.83,88805,425330,2861.4,4755.6,358780,203590,202020,205.01,8859.6,411.38,-38203,1945.2,84348,195.59,4210.1,4027.3,395890,2925300,173760,38585,3996400,131520,5519.7,1748,42225,3551.3,390260,1290.1,10815,66643,106690,940.12,124.91,3281.5,500.74,14143,7179.8,67603,11253,165340,308.74,1503.3,115540,21084000,425330,326570,88281,224620,250.03,906.67,57414,1883.4,27709,133480,7687.1,165.87,61118,9815300,72,WT+DMSO
7168100,30493,300.28,13148,202.94,91469,159250,-38658,88805,423110,1839.1,4757.6,357390,208200,204110,249.86,8782.3,546.65,-20754,2505.7,68455,113.1,4055.5,2856.4,395740,2932100,193010,38585,4238800,129290,8484,1869.4,56042,581.15,394050,2421.2,10676,73102,105930,647.57,471.94,3367.2,423.72,14143,3983.2,65092,11946,165830,433.36,1395.1,116280,11556000,423110,318710,86222,227390,47802,887.42,62.98,1866.4,26648,132220,7355.5,175.94,55667,9935200,72,WT+DMSO
1768200,26781,530.39,2284.4,202.94,93692,13937,-33778,88805,364330,1725.7,1758.2,366360,196800,188000,173.94,8752.7,632.56,539.16,2228.9,116160,52887,3417.9,2220.4,322610,3166400,145400,42589,4439800,126850,10098,1885.4,1137.9,417.02,372290,615.82,8780.5,76222,98519,454.46,406.19,1491.8,342.45,70536,3833,38747,10672,154760,171.07,1229.2,27836,18942000,364330,365270,79823,228170,165.73,688.73,76725,1624.8,30796,132410,5671,9059,36351,9771000,24,OxR
